id_caja,id_producto,peso,descripcion
1,1641,6.1,Fragil
1,3342,5.2,Sin descripcion
4,2758,4.7,Sin descripcion
1,1908,5.1,Fragil
4,1834,5.3,Fragil
4,1852,5.9,Sin descripcion
1,1839,8.3,Sin descripcion
4,2942,10.3,Fragil
3,2101,2.0,Sin descripcion
1,2093,6.6,Fragil
2,709,6.3,Fragil
2,2633,7.2,Fragil
1,3215,6.3,Sin descripcion
1,3079,1.8,Sin descripcion
1,2714,4.6,Sin descripcion
2,584,6.1,Sin descripcion
3,1896,8.6,Fragil
2,460,7.8,Fragil
4,1186,4.0,Fragil
2,2662,6.4,Fragil
2,3360,2.0,Fragil
1,106,7.4,Fragil
2,1224,3.2,Fragil
3,2669,9.6,Fragil
1,3195,9.3,Fragil
2,1080,3.9,Fragil
1,588,1.7,Fragil
2,2721,9.1,Sin descripcion
1,1817,8.0,Sin descripcion
1,2234,4.8,Fragil
2,298,7.1,Sin descripcion
2,1708,4.5,Sin descripcion
2,513,6.4,Fragil
4,3239,5.7,Fragil
4,3428,6.1,Sin descripcion
2,1868,10.3,Sin descripcion
4,2562,5.7,Sin descripcion
3,1590,4.3,Sin descripcion
1,3029,6.9,Fragil
2,824,6.4,Fragil
1,204,4.8,Sin descripcion
1,176,3.2,Fragil
1,2703,5.7,Sin descripcion
1,1262,7.5,Fragil
2,1996,5.5,Sin descripcion
1,627,10.2,Fragil
1,1858,3.7,Fragil
4,294,5.0,Fragil
3,3301,8.5,Fragil
1,1675,5.0,Sin descripcion
1,299,8.4,Fragil
1,2637,2.6,Sin descripcion
1,91,3.4,Sin descripcion
1,3723,3.7,Fragil
1,3259,8.5,Sin descripcion
4,2254,2.6,Fragil
1,3005,7.5,Fragil
1,2254,9.1,Sin descripcion
1,1220,9.8,Fragil
1,2633,3.9,Sin descripcion
2,1319,2.2,Sin descripcion
2,3079,2.2,Sin descripcion
3,2274,5.0,Fragil
1,897,4.2,Fragil
1,851,3.6,Sin descripcion
1,2524,2.1,Fragil
1,3672,1.8,Sin descripcion
2,2040,3.6,Fragil
4,2796,6.5,Fragil
3,1653,3.9,Sin descripcion
3,2373,10.3,Sin descripcion
1,3201,1.3,Sin descripcion
1,3522,7.2,Sin descripcion
2,1385,2.0,Sin descripcion
1,230,5.6,Sin descripcion
1,2383,1.1,Sin descripcion
1,1321,1.3,Fragil
3,324,7.5,Sin descripcion
1,3031,8.8,Sin descripcion
3,1846,6.2,Fragil
2,1163,7.7,Fragil
2,2243,8.3,Fragil
3,1993,5.7,Fragil
3,77,7.6,Fragil
3,2933,7.7,Fragil
3,907,1.5,Sin descripcion
4,2803,5.4,Sin descripcion
2,55,2.2,Sin descripcion
2,3440,2.8,Fragil
1,20,3.2,Sin descripcion
3,2308,8.7,Sin descripcion
1,3162,2.8,Sin descripcion
3,3175,4.4,Fragil
2,2627,8.0,Sin descripcion
2,2595,7.3,Sin descripcion
2,390,3.0,Fragil
3,23,6.6,Sin descripcion
1,3436,6.3,Fragil
2,647,8.3,Sin descripcion
1,3065,5.0,Sin descripcion
1,2041,6.4,Sin descripcion
2,3443,6.7,Sin descripcion
2,3526,6.5,Sin descripcion
1,2906,5.8,Sin descripcion
2,271,1.2,Sin descripcion
1,721,8.2,Sin descripcion
1,1974,1.9,Fragil
1,2889,9.5,Sin descripcion
1,173,8.9,Sin descripcion
2,1275,6.2,Sin descripcion
4,2241,5.5,Fragil
2,2722,6.1,Sin descripcion
1,88,9.9,Fragil
2,711,9.4,Fragil
1,166,10.4,Sin descripcion
1,1703,9.6,Sin descripcion
2,1633,5.3,Fragil
1,3128,2.8,Sin descripcion
1,1955,9.6,Fragil
1,2937,4.1,Fragil
1,1471,7.8,Fragil
3,1103,6.3,Fragil
1,3360,2.7,Sin descripcion
1,2235,3.2,Fragil
1,1141,7.8,Sin descripcion
2,666,7.4,Fragil
3,1504,7.8,Sin descripcion
1,3428,6.2,Fragil
2,915,6.3,Fragil
3,1901,1.7,Sin descripcion
1,664,10.5,Fragil
1,2996,10.9,Sin descripcion
2,421,3.6,Fragil
1,2955,10.2,Fragil
1,3100,2.1,Fragil
1,359,9.1,Fragil
2,1206,4.3,Sin descripcion
1,3230,5.8,Fragil
1,317,4.1,Sin descripcion
3,2246,7.1,Sin descripcion
2,2836,8.3,Fragil
2,3293,7.8,Fragil
1,2297,6.5,Sin descripcion
1,3494,5.6,Sin descripcion
1,92,2.2,Fragil
4,158,6.2,Fragil
3,2253,2.3,Fragil
2,1616,1.6,Sin descripcion
1,815,1.9,Fragil
2,1540,2.6,Fragil
2,1242,4.3,Fragil
3,3094,3.2,Fragil
2,1474,2.3,Fragil
1,1085,8.9,Sin descripcion
2,846,6.3,Fragil
3,421,4.6,Sin descripcion
4,745,8.4,Sin descripcion
1,2756,7.8,Fragil
3,2033,3.5,Fragil
2,3254,7.0,Fragil
4,1358,3.1,Sin descripcion
2,1926,2.8,Sin descripcion
2,1103,4.7,Fragil
4,3213,6.8,Sin descripcion
2,1596,3.7,Sin descripcion
4,1644,8.7,Sin descripcion
1,23,2.2,Fragil
3,1298,7.8,Fragil
2,358,8.0,Sin descripcion
1,2145,3.9,Fragil
1,3450,5.9,Fragil
1,3125,7.0,Fragil
4,2237,6.0,Fragil
4,3302,1.8,Sin descripcion
1,201,3.3,Fragil
1,1914,5.8,Fragil
2,1975,6.8,Sin descripcion
3,2994,3.4,Sin descripcion
1,2037,5.0,Fragil
3,3563,4.1,Sin descripcion
2,1421,7.8,Fragil
1,425,8.8,Sin descripcion
1,3181,10.0,Fragil
2,199,6.4,Fragil
3,3678,4.7,Fragil
3,132,9.4,Fragil
3,1984,2.7,Sin descripcion
1,2529,1.2,Sin descripcion
4,3061,10.1,Fragil
1,2242,5.3,Sin descripcion
3,511,10.6,Fragil
2,2650,9.9,Fragil
3,1962,7.5,Sin descripcion
2,905,9.8,Sin descripcion
2,577,5.7,Fragil
4,2538,8.6,Sin descripcion
2,509,10.4,Sin descripcion
3,1343,4.6,Sin descripcion
4,1409,6.7,Fragil
2,2709,9.3,Fragil
4,671,10.3,Sin descripcion
1,3523,4.7,Sin descripcion
1,1360,7.2,Fragil
3,3050,6.3,Sin descripcion
3,1212,6.8,Fragil
1,294,6.3,Sin descripcion
1,2112,5.7,Fragil
4,1636,5.3,Fragil
4,3513,7.8,Fragil
2,2969,2.3,Fragil
2,37,7.9,Sin descripcion
2,677,5.0,Sin descripcion
2,49,8.1,Sin descripcion
2,2591,4.9,Sin descripcion
1,2357,8.5,Fragil
2,2204,5.9,Fragil
1,1157,7.0,Fragil
3,3245,6.0,Fragil
3,654,5.7,Fragil
4,1540,1.1,Fragil
1,179,7.6,Fragil
2,3238,7.9,Sin descripcion
1,3095,8.6,Sin descripcion
1,8,8.6,Fragil
4,3253,3.6,Fragil
1,3454,7.8,Fragil
1,3693,4.8,Fragil
2,770,8.6,Sin descripcion
3,1138,10.6,Fragil
